Energies(eV)	Cu1.5Te-629332-full/Cu1.0
8970.00	0.03
8970.81	0.03
8971.62	0.03
8972.42	0.04
8973.23	0.04
8974.04	0.04
8974.85	0.04
8975.66	0.05
8976.46	0.05
8977.27	0.06
8978.08	0.06
8978.89	0.07
8979.70	0.07
8980.51	0.08
8981.31	0.10
8982.12	0.11
8982.93	0.13
8983.74	0.16
8984.55	0.20
8985.35	0.27
8986.16	0.35
8986.97	0.45
8987.78	0.54
8988.59	0.63
8989.39	0.72
8990.20	0.80
8991.01	0.87
8991.82	0.91
8992.63	0.94
8993.43	0.96
8994.24	0.97
8995.05	0.97
8995.86	0.97
8996.67	0.98
8997.47	0.99
8998.28	1.00
8999.09	1.03
8999.90	1.05
9000.71	1.04
9001.52	1.02
9002.32	0.98
9003.13	0.94
9003.94	0.91
9004.75	0.89
9005.56	0.89
9006.36	0.89
9007.17	0.89
9007.98	0.90
9008.79	0.90
9009.60	0.91
9010.40	0.92
9011.21	0.94
9012.02	0.95
9012.83	0.97
9013.64	0.99
9014.44	1.01
9015.25	1.03
9016.06	1.04
9016.87	1.04
9017.68	1.04
9018.48	1.03
9019.29	1.01
9020.10	0.99
9020.91	0.97
9021.72	0.95
9022.53	0.94
9023.33	0.92
9024.14	0.91
9024.95	0.90
9025.76	0.90
9026.57	0.89
9027.37	0.89
9028.18	0.90
9028.99	0.90
9029.80	0.91
9030.61	0.92
9031.41	0.93
9032.22	0.94
9033.03	0.94
9033.84	0.95
9034.65	0.96
9035.45	0.96
9036.26	0.96
9037.07	0.97
9037.88	0.97
9038.69	0.97
9039.49	0.97
9040.30	0.98
9041.11	0.98
9041.92	0.98
9042.73	0.98
9043.54	0.99
9044.34	0.99
9045.15	0.99
9045.96	1.00
9046.77	1.00
9047.58	1.01
9048.38	1.01
9049.19	1.02
9050.00	1.0	
